year,region,country,sector,instrument_type,amount_usd_mn
2017,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,146.24
2016,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,147.96
2015,Latin America & Caribbean,Colombia,Energy Efficiency,Grant,113.75
2015,South Asia,Sri Lanka,Climate Adaptation,Grant,0.17
2014,South Asia,Sri Lanka,Climate Adaptation,Grant,0.29
2013,South Asia,Sri Lanka,Climate Adaptation,Grant,1.92
2022,South Asia,Sri Lanka,Climate Adaptation,Grant,1.16
2021,South Asia,Sri Lanka,Climate Adaptation,Grant,0.13
2020,South Asia,Sri Lanka,Climate Adaptation,Grant,0.74
2019,South Asia,Sri Lanka,Climate Adaptation,Grant,0.33
2017,Latin America & Caribbean,Mexico,Climate Adaptation,Grant,0.1
2013,East Asia & Pacific,Philippines,Cross-cutting,Grant,6.86
2022,East Asia & Pacific,Philippines,Cross-cutting,Grant,3.62
2021,East Asia & Pacific,Philippines,Cross-cutting,Grant,3.19
2020,East Asia & Pacific,Philippines,Cross-cutting,Grant,8.58
2019,East Asia & Pacific,Philippines,Cross-cutting,Grant,4.78
2018,East Asia & Pacific,Philippines,Cross-cutting,Grant,5.17
2017,East Asia & Pacific,Philippines,Cross-cutting,Grant,2.4
2016,East Asia & Pacific,Philippines,Cross-cutting,Grant,2.68
2015,East Asia & Pacific,Philippines,Cross-cutting,Grant,3.87
2014,Sub-Saharan Africa,Kenya,Energy Efficiency,Grant,0.05
2017,Sub-Saharan Africa,Kenya,Energy Efficiency,Grant,0.06
2019,Sub-Saharan Africa,South Africa,Energy Efficiency,Grant,0.16
2018,Sub-Saharan Africa,South Africa,Energy Efficiency,Grant,0.01
2017,Sub-Saharan Africa,South Africa,Energy Efficiency,Grant,0.01
2014,Sub-Saharan Africa,South Africa,Energy Efficiency,Grant,0.02
2022,Sub-Saharan Africa,South Africa,Energy Efficiency,Grant,0.12
2021,Sub-Saharan Africa,South Africa,Energy Efficiency,Grant,0.16
2013,East Asia & Pacific,Indonesia,Cross-cutting,Grant,4.46
2022,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.7
2021,East Asia & Pacific,Indonesia,Cross-cutting,Grant,1.17
2020,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.82
2019,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.97
2018,East Asia & Pacific,Indonesia,Cross-cutting,Grant,14.94
2017,East Asia & Pacific,Indonesia,Cross-cutting,Grant,5.24
2016,East Asia & Pacific,Indonesia,Cross-cutting,Grant,1.99
2015,East Asia & Pacific,Indonesia,Cross-cutting,Grant,2.87
2016,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,1.99
2022,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,0.01
2021,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,0.15
2020,Sub-Saharan Africa,Tanzania,Cross-cutting,Grant,1.12
2021,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.28
2013,East Asia & Pacific,Vietnam,Cross-cutting,Grant,4.71
2022,East Asia & Pacific,Vietnam,Cross-cutting,Grant,3.52
2021,East Asia & Pacific,Vietnam,Cross-cutting,Grant,3.75
2020,East Asia & Pacific,Vietnam,Cross-cutting,Grant,3.47
2019,East Asia & Pacific,Vietnam,Cross-cutting,Grant,2.92
2018,East Asia & Pacific,Vietnam,Cross-cutting,Grant,2.19
2017,East Asia & Pacific,Vietnam,Cross-cutting,Grant,1.96
2016,East Asia & Pacific,Vietnam,Cross-cutting,Grant,3.14
2015,East Asia & Pacific,Vietnam,Cross-cutting,Grant,3.84
2014,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,4.36
2017,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,2.29
2016,Sub-Saharan Africa,Kenya,Cross-cutting,Concessional Loan,3.02
2013,Europe & Central Asia,Ukraine,Cross-cutting,Grant,5.42
2022,Europe & Central Asia,Ukraine,Cross-cutting,Grant,4.65
2021,Europe & Central Asia,Ukraine,Cross-cutting,Grant,1.24
2020,Europe & Central Asia,Ukraine,Cross-cutting,Grant,2.28
2019,Europe & Central Asia,Ukraine,Cross-cutting,Grant,2.25
2018,Europe & Central Asia,Ukraine,Cross-cutting,Grant,1.82
2017,Europe & Central Asia,Ukraine,Cross-cutting,Grant,5.29
2016,Europe & Central Asia,Ukraine,Cross-cutting,Grant,4.72
2015,Europe & Central Asia,Ukraine,Cross-cutting,Grant,8.82
2019,South Asia,Sri Lanka,Cross-cutting,Grant,0.19
2014,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.01
2022,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.12
2021,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.04
2017,Sub-Saharan Africa,Tanzania,Climate Adaptation,Grant,0.01
2014,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.94
2013,East Asia & Pacific,Indonesia,Cross-cutting,Grant,1.23
2022,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.75
2019,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.73
2018,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.74
2017,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.32
2016,East Asia & Pacific,Indonesia,Cross-cutting,Grant,0.76
2014,South Asia,Pakistan,Climate Adaptation,Grant,0.11
2013,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,1.24
2021,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,1.12
2020,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,0.84
2019,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,1.57
2018,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,0.58
2017,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,0.16
2016,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,0.24
2015,Middle East & North Africa,Tunisia,Energy Efficiency,Grant,1.09
2021,South Asia,Nepal,Cross-cutting,Grant,0.77
2013,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,115.9
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,822.19
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,431.27
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,794.47
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,678.79
2018,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,595.17
2017,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,156.22
2015,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,7.08
2015,Latin America & Caribbean,Chile,Climate Adaptation,Grant,0.03
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,140.04
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,109.92
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,115.83
2018,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,124.46
2017,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,181.98
2016,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,155.74
2015,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,152.78
2014,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,101.4
2013,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,271.72
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Concessional Loan,23.49
2016,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.03
2015,Middle East & North Africa,Tunisia,Cross-cutting,Grant,1.46
2014,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.02
2013,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.03
2022,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.06
2021,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.48
2020,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.04
2019,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.04
2018,Middle East & North Africa,Tunisia,Cross-cutting,Grant,0.11
2014,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.42
2022,Europe & Central Asia,Turkey,Cross-cutting,Grant,1.17
2021,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.69
2020,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.35
2018,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.84
2017,Europe & Central Asia,Turkey,Cross-cutting,Grant,0.39
2020,Latin America & Caribbean,Mexico,Cross-cutting,Grant,2.4
2019,Latin America & Caribbean,Mexico,Cross-cutting,Grant,1.43
2018,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.67
2017,Latin America & Caribbean,Mexico,Cross-cutting,Grant,1.62
2016,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.33
2015,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.38
2014,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.81
2013,Latin America & Caribbean,Mexico,Cross-cutting,Grant,0.4
2022,Latin America & Caribbean,Mexico,Cross-cutting,Grant,7.01
2022,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,23.28
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,25.25
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,17.15
2019,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,11.66
2018,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,6.23
2017,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,24.32
2016,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,21.1
2015,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,22.29
2014,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,9.98
2019,Sub-Saharan Africa,South Africa,Renewable Energy,Equity,14.72
2022,Sub-Saharan Africa,South Africa,Renewable Energy,Equity,25.46
2021,Sub-Saharan Africa,South Africa,Renewable Energy,Equity,8.14
2013,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,2.54
2022,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,2.09
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,2.68
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,0.67
2019,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,1.81
2018,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,1.82
2017,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,1.92
2016,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,1.64
2015,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,2.58
2013,Latin America & Caribbean,Argentina,Cross-cutting,Grant,1.12
2022,Latin America & Caribbean,Argentina,Cross-cutting,Grant,1.7
2021,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.77
2020,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.94
2019,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.75
2018,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.71
2017,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.64
2016,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.37
2015,Latin America & Caribbean,Argentina,Cross-cutting,Grant,0.52
2013,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,37.22
2022,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,313.82
2021,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,196.98
2020,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,118.77
2019,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,75.0
2018,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,60.85
2017,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,66.56
2016,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,21.95
2015,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,29.72
2017,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.13
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.33
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,4.78
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.06
2013,Latin America & Caribbean,Colombia,Cross-cutting,Concessional Loan,1.19
2013,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,28.54
2022,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,10.55
2021,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,20.18
2020,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,26.35
2019,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,90.19
2018,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,5.12
2017,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,57.66
2016,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,36.09
2015,Sub-Saharan Africa,Ethiopia,Energy Efficiency,Grant,35.63
2017,Europe & Central Asia,Ukraine,Cross-cutting,Grant,3.48
2015,Europe & Central Asia,Ukraine,Cross-cutting,Grant,2.29
2014,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.46
2022,Europe & Central Asia,Ukraine,Cross-cutting,Grant,19.54
2021,Europe & Central Asia,Ukraine,Cross-cutting,Grant,21.23
2020,Europe & Central Asia,Ukraine,Cross-cutting,Grant,14.11
2018,Europe & Central Asia,Ukraine,Renewable Energy,Equity,20.65
2014,Europe & Central Asia,Ukraine,Renewable Energy,Equity,4.09
2022,Europe & Central Asia,Ukraine,Renewable Energy,Equity,1.08
2021,Europe & Central Asia,Ukraine,Renewable Energy,Equity,3.05
2013,Latin America & Caribbean,Colombia,Cross-cutting,Grant,3.36
2022,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.89
2021,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.74
2020,Latin America & Caribbean,Colombia,Cross-cutting,Grant,2.18
2019,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.56
2018,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.96
2017,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.78
2016,Latin America & Caribbean,Colombia,Cross-cutting,Grant,2.68
2015,Latin America & Caribbean,Colombia,Cross-cutting,Grant,2.24
2013,Middle East & North Africa,Morocco,Renewable Energy,Equity,0.3
2013,Middle East & North Africa,Jordan,Cross-cutting,Grant,4.59
2022,Middle East & North Africa,Jordan,Cross-cutting,Grant,10.93
2021,Middle East & North Africa,Jordan,Cross-cutting,Grant,16.63
2020,Middle East & North Africa,Jordan,Cross-cutting,Grant,10.99
2019,Middle East & North Africa,Jordan,Cross-cutting,Grant,12.5
2018,Middle East & North Africa,Jordan,Cross-cutting,Grant,9.34
2017,Middle East & North Africa,Jordan,Cross-cutting,Grant,11.35
2016,Middle East & North Africa,Jordan,Cross-cutting,Grant,7.68
2015,Middle East & North Africa,Jordan,Cross-cutting,Grant,4.74
2013,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,720.79
2022,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,753.93
2021,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,943.39
2020,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,940.91
2019,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,585.65
2018,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,766.59
2017,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,780.86
2016,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,682.41
2015,Sub-Saharan Africa,South Africa,Cross-cutting,Grant,520.33
2013,Middle East & North Africa,Jordan,Energy Efficiency,Grant,1.37
2021,Middle East & North Africa,Jordan,Energy Efficiency,Grant,16.7
2020,Middle East & North Africa,Jordan,Energy Efficiency,Grant,9.99
2019,Middle East & North Africa,Jordan,Energy Efficiency,Grant,8.7
2018,Middle East & North Africa,Jordan,Energy Efficiency,Grant,4.16
2017,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.61
2016,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.65
2015,Middle East & North Africa,Jordan,Energy Efficiency,Grant,1.99
2013,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,2.78
2022,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,14.45
2021,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,6.03
2020,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,7.03
2019,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,3.05
2018,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,2.54
2013,South Asia,Pakistan,Cross-cutting,Grant,35.85
2022,South Asia,Pakistan,Cross-cutting,Grant,42.63
2021,South Asia,Pakistan,Cross-cutting,Grant,20.43
2020,South Asia,Pakistan,Cross-cutting,Grant,11.22
2019,South Asia,Pakistan,Cross-cutting,Grant,96.53
2018,South Asia,Pakistan,Cross-cutting,Grant,2.76
2017,South Asia,Pakistan,Cross-cutting,Grant,2.33
2016,South Asia,Pakistan,Cross-cutting,Grant,3.24
2015,South Asia,Pakistan,Cross-cutting,Grant,5.74
2018,South Asia,Sri Lanka,Cross-cutting,Grant,16.81
2017,South Asia,Sri Lanka,Cross-cutting,Grant,21.53
2016,South Asia,Sri Lanka,Cross-cutting,Grant,10.7
2015,South Asia,Sri Lanka,Cross-cutting,Grant,25.49
2014,South Asia,Sri Lanka,Cross-cutting,Grant,50.9
2013,South Asia,Sri Lanka,Cross-cutting,Grant,28.11
2022,South Asia,Sri Lanka,Cross-cutting,Grant,50.55
2021,South Asia,Sri Lanka,Cross-cutting,Grant,20.09
2020,South Asia,Sri Lanka,Cross-cutting,Grant,13.21
2013,East Asia & Pacific,Vietnam,Cross-cutting,Grant,0.18
2020,East Asia & Pacific,Vietnam,Cross-cutting,Grant,0.03
2019,East Asia & Pacific,Vietnam,Cross-cutting,Grant,1.0
2018,East Asia & Pacific,Vietnam,Cross-cutting,Grant,0.81
2017,East Asia & Pacific,Vietnam,Cross-cutting,Grant,0.99
2016,East Asia & Pacific,Vietnam,Cross-cutting,Grant,1.87
2015,East Asia & Pacific,Vietnam,Cross-cutting,Grant,0.75
2017,Sub-Saharan Africa,Ghana,Energy Efficiency,Grant,0.01
2019,Sub-Saharan Africa,Ghana,Energy Efficiency,Grant,0.01
2013,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.47
2022,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.4
2021,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.39
2020,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.4
2019,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.44
2018,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.55
2017,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.56
2016,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.51
2015,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.62
2021,South Asia,Bangladesh,Cross-cutting,Grant,45.43
2020,South Asia,Bangladesh,Cross-cutting,Grant,64.03
2019,South Asia,Bangladesh,Cross-cutting,Grant,92.12
2018,South Asia,Bangladesh,Cross-cutting,Grant,61.2
2017,South Asia,Bangladesh,Cross-cutting,Grant,76.65
2016,South Asia,Bangladesh,Cross-cutting,Grant,76.38
2015,South Asia,Bangladesh,Cross-cutting,Grant,86.35
2014,South Asia,Bangladesh,Cross-cutting,Grant,36.0
2013,South Asia,Bangladesh,Cross-cutting,Grant,96.95
2016,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.48
2015,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.24
2014,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.21
2013,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,0.04
2022,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,1.87
2021,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,3.56
2020,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,2.74
2019,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,4.45
2018,Sub-Saharan Africa,Ethiopia,Cross-cutting,Grant,1.43
2020,East Asia & Pacific,China,Cross-cutting,Concessional Loan,164.78
2019,East Asia & Pacific,China,Cross-cutting,Concessional Loan,84.27
2018,East Asia & Pacific,China,Cross-cutting,Concessional Loan,183.56
2017,East Asia & Pacific,China,Cross-cutting,Concessional Loan,77.18
2016,East Asia & Pacific,China,Cross-cutting,Concessional Loan,97.48
2015,East Asia & Pacific,China,Cross-cutting,Concessional Loan,64.06
2014,East Asia & Pacific,China,Cross-cutting,Concessional Loan,28.72
2013,East Asia & Pacific,China,Cross-cutting,Concessional Loan,36.28
2022,East Asia & Pacific,China,Cross-cutting,Concessional Loan,170.98
2013,Middle East & North Africa,Jordan,Climate Adaptation,Grant,0.34
2022,Middle East & North Africa,Jordan,Climate Adaptation,Grant,0.06
2021,Middle East & North Africa,Jordan,Climate Adaptation,Grant,0.13
2020,Middle East & North Africa,Jordan,Climate Adaptation,Grant,0.17
2016,Middle East & North Africa,Jordan,Climate Adaptation,Grant,0.01
2015,Middle East & North Africa,Jordan,Climate Adaptation,Grant,0.27
2016,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.29
2015,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.21
2014,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.22
2013,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.76
2022,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.07
2021,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.49
2020,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.2
2019,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.27
2018,Europe & Central Asia,Ukraine,Cross-cutting,Grant,0.55
2013,South Asia,Bangladesh,Cross-cutting,Grant,3.01
2022,South Asia,Bangladesh,Cross-cutting,Grant,3.23
2021,South Asia,Bangladesh,Cross-cutting,Grant,4.93
2020,South Asia,Bangladesh,Cross-cutting,Grant,6.63
2019,South Asia,Bangladesh,Cross-cutting,Grant,15.22
2018,South Asia,Bangladesh,Cross-cutting,Grant,10.06
2017,South Asia,Bangladesh,Cross-cutting,Grant,5.58
2016,South Asia,Bangladesh,Cross-cutting,Grant,1.98
2015,South Asia,Bangladesh,Cross-cutting,Grant,2.41
2013,East Asia & Pacific,Indonesia,Cross-cutting,Grant,33.6
2022,East Asia & Pacific,Indonesia,Cross-cutting,Grant,30.19
2021,East Asia & Pacific,Indonesia,Cross-cutting,Grant,40.87
2020,East Asia & Pacific,Indonesia,Cross-cutting,Grant,43.13
2019,East Asia & Pacific,Indonesia,Cross-cutting,Grant,43.28
2018,East Asia & Pacific,Indonesia,Cross-cutting,Grant,40.03
2017,East Asia & Pacific,Indonesia,Cross-cutting,Grant,32.77
2016,East Asia & Pacific,Indonesia,Cross-cutting,Grant,23.58
2015,East Asia & Pacific,Indonesia,Cross-cutting,Grant,30.43
2013,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,629.89
2022,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,2132.13
2021,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,1047.16
2020,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,992.7
2019,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,1165.73
2018,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,846.17
2017,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,732.99
2016,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,649.83
2015,Sub-Saharan Africa,Nigeria,Cross-cutting,Grant,709.24
2021,Latin America & Caribbean,Colombia,Cross-cutting,Grant,41.01
2020,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.09
2019,Latin America & Caribbean,Colombia,Cross-cutting,Grant,1.25
2018,Latin America & Caribbean,Colombia,Cross-cutting,Grant,8.77
2015,Latin America & Caribbean,Colombia,Cross-cutting,Grant,0.07
2022,South Asia,India,Renewable Energy,Equity,1.58
2021,South Asia,India,Renewable Energy,Equity,1.77
2021,Middle East & North Africa,Jordan,Cross-cutting,Grant,0.24
2019,Middle East & North Africa,Jordan,Cross-cutting,Grant,0.72
2018,Middle East & North Africa,Jordan,Cross-cutting,Grant,1.37
2015,Middle East & North Africa,Jordan,Cross-cutting,Grant,0.06
2013,South Asia,Pakistan,Cross-cutting,Concessional Loan,13.28
2018,South Asia,Pakistan,Cross-cutting,Concessional Loan,11.8
2017,South Asia,Pakistan,Cross-cutting,Concessional Loan,11.27
2015,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,25.53
2014,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,33.86
2013,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,15.49
2022,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,75.79
2021,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,22.04
2020,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,18.11
2019,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,32.32
2018,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,19.71
2017,Europe & Central Asia,Ukraine,Energy Efficiency,Grant,20.76
2017,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.07
2016,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.02
2015,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.01
2013,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.02
2022,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.04
2021,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.04
2020,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.02
2019,Sub-Saharan Africa,Ghana,Cross-cutting,Grant,0.02
2013,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,67.33
2022,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,18.19
2021,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,36.59
2020,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,47.44
2019,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,75.84
2018,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,37.19
2017,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,96.87
2016,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,53.19
2015,Sub-Saharan Africa,Ghana,Cross-cutting,Concessional Loan,117.09
2017,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.7
2021,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.44
2020,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.78
2019,Latin America & Caribbean,Brazil,Cross-cutting,Grant,0.73
2020,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.42
2019,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.94
2018,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.54
2017,Middle East & North Africa,Jordan,Energy Efficiency,Grant,1.83
2016,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.39
2015,Middle East & North Africa,Jordan,Energy Efficiency,Grant,5.08
2014,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.66
2013,Middle East & North Africa,Jordan,Energy Efficiency,Grant,0.09
2022,Middle East & North Africa,Jordan,Energy Efficiency,Grant,1.84
2022,South Asia,Nepal,Cross-cutting,Grant,0.01
2013,East Asia & Pacific,Vietnam,Cross-cutting,Concessional Loan,7.24
2022,East Asia & Pacific,Vietnam,Cross-cutting,Concessional Loan,2.97
2021,East Asia & Pacific,Vietnam,Cross-cutting,Concessional Loan,5.1
